law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
15,ON,7003,1037,871.6071685861424,970.3406554556552,738.8965015421451,939.6516531985513,824.5834949514673,0.8405083592923264,0.9357190505840456,0.06428094941595425,3,0,False,112,17,5.008928571428571,51,94,112,3,1,0
16,OFF,7001,393,295.9085356885174,206.97961450831642,228.1573485022236,132.65806860884928,162.63718379576005,0.7529479279606042,0.5266656857717975,0.4733343142282029,34,0,False,202,6,2.282178217821782,17,190,202,14,13,0
16,OFF,7002,392,292.7980404976187,215.31666990090815,225.68902954066047,143.99254288934756,169.72311798847318,0.7469337767796395,0.5492772191349697,0.4507227808650309,27,0,False,198,4,2.3333333333333335,14,189,198,4,6,2
16,OFF,7003,447,333.0018217326036,229.66451506260492,253.5871161865919,150.16752094439647,179.09992369464726,0.7449705184174578,0.5137908614375949,0.48620913856240516,31,0,False,209,8,2.411483253588517,13,194,209,12,15,2
16,ON,7001,436,330.69867242096103,293.0823528004567,254.73747034828756,233.92286338463035,229.6261409891722,0.7584831936260574,0.6722072311937081,0.327792768806293,14,0,False,247,8,2.2348178137651824,12,235,247,2,3,1
16,ON,7002,490,370.1627615342982,311.08278295921514,284.56020296839904,246.1656661101519,243.01940567616424,0.7554342072128535,0.6348628223657452,0.36513717763425546,34,0,False,264,5,2.2765151515151514,16,246,264,12,15,1
16,ON,7003,522,392.8508793807425,308.5813991563993,299.66473583365934,230.60020382291083,238.67846050275438,0.7525878915339895,0.5911521056636002,0.4088478943364001,37,0,False,264,9,2.382575757575758,11,243,264,4,4,4
17,OFF,7001,745,635.5741722033555,625.1047188570097,552.0892487108378,553.8350084470816,544.8291713277798,0.853119694232692,0.8390667367208184,0.16093326327918095,11,2,True,65,12,5.753846153846154,57,56,65,2,2,0
17,OFF,7002,816,690.3157482491963,675.3902819990861,595.2386919012853,590.7469129499758,585.9140767300684,0.8459751816779366,0.8276841691165271,0.17231583088347147,8,0,False,52,12,7.3076923076923075,61,46,52,2,4,0
17,OFF,7003,608,518.8127425058045,513.345121620003,448.39883396771125,454.84300415331444,446.22297851006584,0.853310431752968,0.8443176342434261,0.15568236575657365,6,1,True,65,11,4.969230769230769,48,62,65,1,1,0
17,ON,7001,833,698.0623388757105,755.8135833121127,592.6136464682821,725.7457069199356,645.9068180636218,0.8380100106551146,0.9073392356688027,0.09266076433119723,7,0,False,111,13,4.423423423423423,47,99,111,3,3,0
17,ON,7002,834,686.3596668066797,759.0389471639477,570.4538406674061,725.8630076466294,633.759917876087,0.822973221590743,0.9101186416833905,0.08988135831661012,4,0,False,122,15,4.147540983606557,42,107,122,4,2,0
